Ip1, Ip2, Ip3, Ip4, Phone, SurvivalTime, AverageAnswerTime, Outcome
183,0,180,15,17064,36,1.9,1
1,25,60,52,17061,1,1.7,1
120,239,198,45,16722,2,2.1,1
123,187,98,136,17016,20,2,1
182,140,81,40,17069,2,1.8,1
115,201,199,247,16798,39,2.1,1
120,42,214,253,17100,21,1.8,1
120,42,214,253,16762,22,2,1
120,42,214,253,17056,1,2.1,1
120,239,198,45,17061,1,1.9,1
120,42,214,253,16233,21,2,1
1,181,243,7,17056,51,2.9,1
114,223,209,174,17065,21,2,1
125,89,224,95,17100,1,1.7,1
125,89,224,95,18411,23,1.9,1
218,13,194,182,16238,2,2,1
115,201,199,247,17064,37,2,1
120,42,214,253,16238,21,1.8,1
39,155,69,239,16533,2,1.8,1
120,42,214,253,16532,42,1.9,1
111,124,183,20,16533,25,2,1
125,89,224,95,16762,40,1.9,1
59,33,90,134,17013,1,1.8,1
27,186,3,129,16762,1,2,1
218,13,194,182,18411,22,1.9,1
123,187,98,136,17050,42,2,1
125,89,224,95,16533,23,1.9,1
123,187,98,136,17064,1,1.8,1
1,181,243,7,18411,3,2.7,1
112,32,10,8,17019,42,1.9,1
120,239,198,45,16750,1,1.6,1
120,42,214,253,17056,40,1.4,1
125,89,224,95,18411,21,1.7,1
59,33,90,134,17013,21,1.9,1
120,239,198,45,16713,1,2.1,1
182,140,81,40,18411,22,1.9,1
39,155,69,239,16533,42,1.7,1
120,42,214,253,16238,2,1.9,1
182,140,81,40,18411,23,2,1
59,33,90,134,17013,41,1.8,1
182,140,81,40,16520,1,2,1
120,239,198,45,17102,20,1.8,1
125,89,224,95,16762,40,1.8,1
120,239,198,45,18411,18,2,1
218,13,194,182,17102,18,2.2,1
36,248,143,27,16532,23,2.1,1
125,89,224,95,16521,40,1.9,1
1,84,8,222,17152,62,1.6,1
1,84,8,222,16517,39,1.6,1
120,239,198,45,17065,19,1.8,1
120,239,198,45,16533,44,2,1
1,84,8,222,16750,90,1.7,1
1,84,8,222,16713,96,1.7,1
1,84,8,222,16533,63,1.6,1
1,84,8,222,16533,46,1.6,1
1,181,243,7,16533,50,2,1
120,239,198,45,17065,43,2,1
120,42,214,253,16534,1,1.9,1
39,155,69,239,17012,20,1.8,1
182,140,81,40,16533,44,1.9,1
182,140,81,40,18411,22,2.1,1
36,248,143,27,16533,2,2,1
218,13,194,182,16534,1,1.7,1
